"alert_id","rule_id","customer_id","alert_date","alert_created","alert_status","assigned_to","metric_value"
ALT000043,R004,CUST00101,2023-08-01,2026-07-11 16:02:44.946,Converted to Case,INV005,1.5360
ALT000042,R004,CUST00101,2023-12-01,2026-07-11 16:02:44.946,Converted to Case,INV001,1.5360
ALT000026,R004,CUST00145,2023-04-01,2026-07-11 16:02:44.946,Converted to Case,INV002,1.6822
ALT000023,R004,CUST00145,2023-03-01,2026-07-11 16:02:44.946,Converted to Case,INV002,1.9065
ALT000039,R004,CUST00089,2024-07-01,2026-07-11 16:02:44.946,Converted to Case,INV001,1.5396
ALT000030,R004,CUST00089,2023-12-01,2026-07-11 16:02:44.946,Converted to Case,INV001,1.6302
ALT000029,R004,CUST00817,2023-09-01,2026-07-11 16:02:44.946,Converted to Case,INV003,1.6403
ALT000041,R004,CUST00645,2023-12-01,2026-07-11 16:02:44.946,Converted to Case,INV003,1.5366
ALT000040,R004,CUST00645,2024-03-01,2026-07-11 16:02:44.946,Converted to Case,INV005,1.5366
ALT000060,R005,CUST00356,2023-01-23,2026-07-11 16:02:44.946,Converted to Case,INV005,0.9856
ALT000055,R005,CUST00965,2023-02-09,2026-07-11 16:02:44.946,Converted to Case,INV001,0.8134
ALT000028,R004,CUST00965,2023-01-01,2026-07-11 16:02:44.946,Converted to Case,INV005,1.6518
ALT000052,R005,CUST00930,2024-12-16,2026-07-11 16:02:44.946,Converted to Case,INV001,0.8798
ALT000033,R004,CUST00460,2023-09-01,2026-07-11 16:02:44.946,Converted to Case,INV004,1.5692
ALT000037,R004,CUST00105,2023-01-01,2026-07-11 16:02:44.946,Converted to Case,INV005,1.5481
ALT000022,R004,CUST00105,2023-06-01,2026-07-11 16:02:44.946,Converted to Case,INV001,1.9167
ALT000014,R002,CUST00105,2023-10-25,2026-07-11 16:02:44.946,Converted to Case,INV005,10.0000
ALT000065,R005,CUST00110,2024-06-19,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8787
ALT000056,R005,CUST00110,2024-02-22,2026-07-11 16:02:44.946,Converted to Case,INV001,0.8735
ALT000058,R005,CUST00023,2024-12-10,2026-07-11 16:02:44.946,Converted to Case,INV002,0.8820
ALT000032,R004,CUST00023,2023-06-01,2026-07-11 16:02:44.946,Converted to Case,INV004,1.6077
ALT000053,R005,CUST00985,2024-06-19,2026-07-11 16:02:44.946,Converted to Case,INV003,0.9444
ALT000012,R002,CUST00177,2023-09-25,2026-07-11 16:02:44.946,Assigned,INV002,1.0000
ALT000013,R002,CUST00009,2023-11-30,2026-07-11 16:02:44.946,Assigned,INV002,1.0000
ALT000015,R002,CUST00995,2023-11-30,2026-07-11 16:02:44.946,Assigned,INV001,1.0000
ALT000016,R003,CUST00601,2024-12-30,2026-07-11 16:02:44.946,Assigned,INV004,0.8970
ALT000017,R003,CUST00459,2024-12-31,2026-07-11 16:02:44.946,Assigned,INV004,0.8919
ALT000018,R004,CUST00872,2023-11-01,2026-07-11 16:02:44.946,Assigned,INV003,6.0943
ALT000020,R004,CUST00371,2023-08-01,2026-07-11 16:02:44.946,Assigned,INV002,2.7273
ALT000021,R004,CUST00102,2024-05-01,2026-07-11 16:02:44.946,Assigned,INV003,1.9422
ALT000027,R004,CUST00950,2023-03-01,2026-07-11 16:02:44.946,Assigned,INV001,1.6788
ALT000034,R004,CUST00651,2024-10-01,2026-07-11 16:02:44.946,Assigned,INV001,1.5652
ALT000038,R004,CUST00010,2023-07-01,2026-07-11 16:02:44.946,Assigned,INV005,1.5413
ALT000045,R004,CUST00855,2023-10-01,2026-07-11 16:02:44.946,Assigned,INV001,1.5313
ALT000048,R004,CUST00423,2024-10-01,2026-07-11 16:02:44.946,Assigned,INV001,1.5167
ALT000050,R005,CUST00959,2024-10-20,2026-07-11 16:02:44.946,Assigned,INV002,0.8859
ALT000051,R005,CUST00901,2024-05-14,2026-07-11 16:02:44.946,Assigned,INV004,0.8560
ALT000054,R005,CUST00707,2023-08-12,2026-07-11 16:02:44.946,Assigned,INV005,0.9052
ALT000059,R005,CUST00701,2023-01-22,2026-07-11 16:02:44.946,Assigned,INV002,0.8732
ALT000063,R005,CUST00390,2024-08-21,2026-07-11 16:02:44.946,Assigned,INV005,0.8835
ALT000067,R005,CUST00909,2023-12-15,2026-07-11 16:02:44.946,Assigned,INV004,0.8239
ALT000076,R005,CUST00181,2023-07-24,2026-07-11 16:02:44.946,Assigned,INV001,0.9324
ALT000078,R005,CUST00453,2023-07-16,2026-07-11 16:02:44.946,Assigned,INV003,0.8120
ALT000080,R005,CUST00713,2024-01-21,2026-07-11 16:02:44.946,Assigned,INV001,0.9656
ALT000084,R005,CUST00838,2024-01-21,2026-07-11 16:02:44.946,Assigned,INV004,0.8324
ALT000091,R005,CUST00945,2023-02-25,2026-07-11 16:02:44.946,Assigned,INV002,0.9523
ALT000094,R005,CUST00549,2023-01-26,2026-07-11 16:02:44.946,Assigned,INV003,0.9665
ALT000096,R005,CUST00833,2024-10-02,2026-07-11 16:02:44.946,Assigned,INV004,0.9075
ALT000099,R005,CUST00120,2023-06-21,2026-07-11 16:02:44.946,Assigned,INV002,0.8609
ALT000103,R005,CUST00595,2024-09-08,2026-07-11 16:02:44.946,Assigned,INV005,0.8247
ALT000109,R005,CUST00839,2023-03-03,2026-07-11 16:02:44.946,Assigned,INV001,0.8462
ALT000086,R005,CUST00067,2024-10-26,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8561
ALT000083,R005,CUST00067,2023-08-07,2026-07-11 16:02:44.946,Converted to Case,INV005,0.8493
ALT000075,R005,CUST00067,2024-03-11,2026-07-11 16:02:44.946,Converted to Case,INV004,0.8668
ALT000108,R005,CUST00940,2023-03-15,2026-07-11 16:02:44.946,Converted to Case,INV001,0.8207
ALT000087,R005,CUST00940,2024-05-22,2026-07-11 16:02:44.946,Converted to Case,INV005,0.8071
ALT000105,R005,CUST00108,2023-05-17,2026-07-11 16:02:44.946,Converted to Case,INV003,0.9189
ALT000098,R005,CUST00412,2024-06-14,2026-07-11 16:02:44.946,Converted to Case,INV003,1.0000
ALT000074,R005,CUST00104,2024-02-20,2026-07-11 16:02:44.946,Converted to Case,INV004,0.8116
ALT000073,R005,CUST00104,2023-08-03,2026-07-11 16:02:44.946,Converted to Case,INV004,0.9017
ALT000072,R005,CUST00245,2024-02-20,2026-07-11 16:02:44.946,Converted to Case,INV004,0.8714
ALT000068,R005,CUST00245,2024-04-02,2026-07-11 16:02:44.946,Converted to Case,INV002,0.8510
ALT000088,R005,CUST00817,2023-12-22,2026-07-11 16:02:44.946,Converted to Case,INV004,0.8771
ALT000092,R005,CUST00223,2023-06-07,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8674
ALT000077,R005,CUST00223,2024-01-21,2026-07-11 16:02:44.946,Converted to Case,INV003,0.9343
ALT000106,R005,CUST00356,2024-11-24,2026-07-11 16:02:44.946,Converted to Case,INV005,0.8042
ALT000095,R005,CUST00356,2024-07-07,2026-07-11 16:02:44.946,Converted to Case,INV004,0.8123
ALT000101,R005,CUST00008,2024-01-04,2026-07-11 16:02:44.946,Converted to Case,INV004,0.9366
ALT000069,R005,CUST00008,2023-08-05,2026-07-11 16:02:44.946,Converted to Case,INV002,0.8669
ALT000081,R005,CUST00930,2023-11-11,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8673
ALT000085,R005,CUST00460,2023-11-10,2026-07-11 16:02:44.946,Converted to Case,INV005,0.9100
ALT000079,R005,CUST00460,2024-07-14,2026-07-11 16:02:44.946,Converted to Case,INV003,0.9089
ALT000070,R005,CUST00460,2023-04-11,2026-07-11 16:02:44.946,Converted to Case,INV002,0.9829
ALT000100,R005,CUST00103,2024-03-19,2026-07-11 16:02:44.946,Converted to Case,INV005,0.9276
ALT000090,R005,CUST00103,2023-06-12,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8694
ALT000071,R005,CUST00103,2024-01-19,2026-07-11 16:02:44.946,Converted to Case,INV004,0.9931
ALT000102,R005,CUST00110,2023-03-27,2026-07-11 16:02:44.946,Converted to Case,INV004,0.8335
ALT000093,R005,CUST00110,2023-04-26,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8425
ALT000082,R005,CUST00023,2024-06-06,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8936
ALT000035,R004,CUST00985,2023-09-01,2026-07-11 16:02:44.946,Converted to Case,INV004,1.5573
ALT000104,R005,CUST00107,2024-11-14,2026-07-11 16:02:44.946,Converted to Case,INV005,0.8912
ALT000097,R005,CUST00107,2023-09-25,2026-07-11 16:02:44.946,Converted to Case,INV005,0.9096
ALT000064,R005,CUST00107,2024-09-17,2026-07-11 16:02:44.946,Converted to Case,INV003,0.8780
ALT000061,R005,CUST00887,2023-12-18,2026-07-11 16:02:44.946,Converted to Case,INV005,0.8918
ALT000025,R004,CUST00887,2023-04-01,2026-07-11 16:02:44.946,Converted to Case,INV001,1.7577
ALT000019,R004,CUST00887,2023-12-01,2026-07-11 16:02:44.946,Converted to Case,INV003,4.3480
ALT000107,R005,CUST00849,2023-01-12,2026-07-11 16:02:44.946,Converted to Case,INV005,0.9876
ALT000049,R004,CUST00849,2024-05-01,2026-07-11 16:02:44.946,Converted to Case,INV003,1.5000
ALT000089,R005,CUST00969,2023-06-15,2026-07-11 16:02:44.946,Converted to Case,INV002,0.9052
ALT000062,R005,CUST00969,2023-01-17,2026-07-11 16:02:44.946,Converted to Case,INV004,0.9674
